domain, useragent, type, directory 
www.google.com, *, disallow, /alerts/
www.google.com, *, allow, /alerts/$
www.google.com, *, disallow, /ads/search?
www.google.com, *, disallow, /ads/plan/action_plan?
www.google.com, *, disallow, /ads/plan/api/
www.google.com, *, disallow, /ads/hotels/partners
www.google.com, *, disallow, /phone/compare/?
www.google.com, *, disallow, /travel/clk
www.google.com, *, disallow, /hotelfinder/rpc
www.google.com, *, disallow, /hotels/rpc
www.google.com, *, disallow, /flights/rpc
www.google.com, *, disallow, /commercesearch/services/
www.google.com, *, disallow, /evaluation/
www.google.com, *, disallow, /chrome/browser/mobile/tour
www.google.com, *, disallow, /compare/*/apply*
www.google.com, *, disallow, /forms/perks/
www.google.com, *, disallow, /shopping/suppliers/search
www.google.com, *, disallow, /ct/
www.google.com, *, disallow, /edu/cs4hs/
www.google.com, *, disallow, /trustedstores/s/
www.google.com, *, disallow, /trustedstores/tm2
www.google.com, *, disallow, /trustedstores/verify
www.google.com, *, disallow, /adwords/proposal
www.google.com, *, disallow, /shopping/product/
www.google.com, *, disallow, /shopping/seller
www.google.com, *, disallow, /shopping/reviewer
www.google.com, *, disallow, /about/careers/apply/
www.google.com, *, disallow, /about/careers/applications/
www.google.com, *, disallow, /landing/signout.html
www.google.com, *, disallow, /webmasters/sitemaps/ping?
www.google.com, *, disallow, /ping?
www.google.com, *, disallow, /gallery/
www.google.com, *, disallow, /landing/now/ontap/
www.google.com, twitterbot, allow, /imgres
www.google.com, facebookexternalhit, allow, /imgres
dmu.ac.uk, ﻿ *, disallow, /test-area/
dmu.ac.uk, ﻿ *, disallow, /marketing-toolkit/
dmu.ac.uk, ﻿ *, disallow, /user-training/
dmu.ac.uk, ﻿ *, disallow, /documents/about-dmu-documents/facts-and-figures/vc-expenses-dec-2011-to-june-2013-v5.pdf
dmu.ac.uk, ﻿ *, disallow, /alumni/benefits-and-services/exclusive-offers.aspx
dmu.ac.uk, ﻿ *, disallow, /about-dmu/academic-staff/health-and-life-sciences/ali-al-khattawi/ali-al-khattawi.aspx?contensistextonly=true
dailymail.co.uk, *, disallow, /*readcommentshtml*
